id,code,city_id/id,name
state_city.res_state_kecamatan288,res_state_kecamatan288,state_city.res_state_city25,Sawan
state_city.res_state_kecamatan289,res_state_kecamatan289,state_city.res_state_city26,Salemadeg Timur
state_city.res_state_kecamatan290,res_state_kecamatan290,state_city.res_state_city26,Salemadeg Barat
state_city.res_state_kecamatan291,res_state_kecamatan291,state_city.res_state_city27,Rendang
state_city.res_state_kecamatan292,res_state_kecamatan292,state_city.res_state_city26,Pupuan
state_city.res_state_kecamatan293,res_state_kecamatan293,state_city.res_state_city28,Petang
state_city.res_state_kecamatan294,res_state_kecamatan294,state_city.res_state_city26,Penebel
state_city.res_state_kecamatan295,res_state_kecamatan295,state_city.res_state_city29,Pekutatan
state_city.res_state_kecamatan296,res_state_kecamatan296,state_city.res_state_city23,Payangan
state_city.res_state_kecamatan297,res_state_kecamatan297,state_city.res_state_city30,Nusapenida
state_city.res_state_kecamatan298,res_state_kecamatan298,state_city.res_state_city29,Negara
state_city.res_state_kecamatan299,res_state_kecamatan299,state_city.res_state_city28,Mengwi
state_city.res_state_kecamatan300,res_state_kecamatan300,state_city.res_state_city29,Mendoyo
state_city.res_state_kecamatan301,res_state_kecamatan301,state_city.res_state_city29,Melaya
state_city.res_state_kecamatan302,res_state_kecamatan302,state_city.res_state_city26,Marga
state_city.res_state_kecamatan303,res_state_kecamatan303,state_city.res_state_city27,Manggis
state_city.res_state_kecamatan304,res_state_kecamatan304,state_city.res_state_city28,Kuta Utara
state_city.res_state_kecamatan305,res_state_kecamatan305,state_city.res_state_city28,Kuta Selatan
state_city.res_state_kecamatan306,res_state_kecamatan306,state_city.res_state_city28,Kuta
state_city.res_state_kecamatan307,res_state_kecamatan307,state_city.res_state_city25,Kubutambahan
state_city.res_state_kecamatan308,res_state_kecamatan308,state_city.res_state_city27,Kubu
state_city.res_state_kecamatan309,res_state_kecamatan309,state_city.res_state_city30,Klungkung
state_city.res_state_kecamatan310,res_state_kecamatan310,state_city.res_state_city24,Kintamani
state_city.res_state_kecamatan311,res_state_kecamatan311,state_city.res_state_city26,Kerambitan
